job_id,title,company_type,location,job_type,source,salary_lpa,experience_years,skills,posted_date
J1044,Backend Developer,Mid-size,Bengaluru,Full-time,Wellfound,7.9,3,REST APIs;Docker,2026-08-23
J1045,Data Scientist,Enterprise,Hyderabad,Full-time,Indeed,8.6,1,Statistics;SQL;Pandas;TensorFlow;Python,2026-07-28
J1046,Full Stack Developer,Enterprise,Bengaluru,Full-time,LinkedIn,8.8,1,Node.js;MongoDB,2026-04-23
J1047,Data Analyst,Enterprise,Bengaluru,Full-time,LinkedIn,5.3,0,Python;Tableau;Power BI,2026-06-27
J1048,UI/UX Designer,Enterprise,Hyderabad,Full-time,LinkedIn,6.8,4,Adobe XD;Prototyping,2026-05-30
J1049,Data Analyst,Mid-size,Pune,Full-time,Naukri,7.0,1,Tableau;Python;SQL;Power BI,2026-02-26
J1050,Data Scientist,Startup,Mumbai,Full-time,Wellfound,5.4,4,SQL;Machine Learning,2026-05-25
J1051,Data Analyst,Mid-size,Bengaluru,Part-time,Wellfound,7.2,5,SQL;Power BI;Pandas;Python,2026-03-25
J1052,Backend Developer,Enterprise,Bengaluru,Full-time,LinkedIn,9.9,1,Python;REST APIs,2026-06-16
J1053,Data Analyst,Enterprise,Remote,Full-time,LinkedIn,4.8,0,Python;Excel,2026-06-21
J1054,Frontend Developer,Mid-size,Mumbai,Contract,LinkedIn,8.6,1,React;HTML,2026-05-29
J1055,DevOps Engineer,Startup,Delhi NCR,Full-time,Naukri,10.6,0,AWS;Linux;CI/CD,2026-08-01
J1056,DevOps Engineer,Enterprise,Mumbai,Full-time,Wellfound,8.4,4,AWS;CI/CD,2026-04-05
J1057,DevOps Engineer,Startup,Delhi NCR,Part-time,LinkedIn,10.7,5,CI/CD;Terraform;AWS;Kubernetes;Docker,2026-02-09
J1058,UI/UX Designer,Mid-size,Remote,Full-time,Wellfound,6.1,4,User Research;Figma,2026-08-28
J1059,Data Analyst,Startup,Pune,Full-time,LinkedIn,4.4,2,Power BI;SQL;Python;Pandas,2026-08-06
J1060,Backend Developer,Mid-size,Pune,Full-time,Wellfound,9.0,5,REST APIs;Node.js;PostgreSQL;SQL;AWS,2026-07-04
J1061,Data Analyst,Mid-size,Mumbai,Full-time,Wellfound,4.7,3,Excel;Tableau;Pandas,2026-06-27
J1062,Full Stack Developer,Startup,Delhi NCR,Full-time,Naukri,11.7,1,Node.js;MongoDB;TypeScript,2026-03-06
J1063,Full Stack Developer,Startup,Chennai,Full-time,LinkedIn,7.1,1,SQL;React;AWS;MongoDB,2026-07-05
J1064,Full Stack Developer,Enterprise,Chennai,Full-time,Indeed,9.0,5,TypeScript;MongoDB;SQL,2026-06-28
J1065,Backend Developer,Mid-size,Bengaluru,Full-time,Wellfound,8.0,0,Python;REST APIs;AWS;SQL,2026-01-14
J1066,Frontend Developer,Enterprise,Delhi NCR,Full-time,Naukri,4.4,4,CSS;Tailwind,2026-03-05
J1067,Full Stack Developer,Mid-size,Pune,Full-time,Indeed,5.7,1,MongoDB;Node.js;SQL;TypeScript;React,2026-08-09
J1068,Backend Developer,Enterprise,Bengaluru,Full-time,Wellfound,8.2,2,Node.js;Python;SQL,2026-03-03
J1069,DevOps Engineer,Startup,Mumbai,Part-time,Naukri,9.4,1,CI/CD;Docker;Kubernetes;AWS;Linux,2026-03-14
J1070,Full Stack Developer,Startup,Bengaluru,Internship,Wellfound,10.8,2,TypeScript;React;MongoDB,2026-07-31
J1071,DevOps Engineer,Mid-size,Pune,Full-time,LinkedIn,5.3,4,Terraform;AWS;Linux;Docker;CI/CD,2026-03-19
J1072,Backend Developer,Enterprise,Chennai,Full-time,Naukri,5.2,5,SQL;Python,2026-06-22
J1073,Data Scientist,Startup,Pune,Full-time,LinkedIn,5.8,1,SQL;Pandas;TensorFlow;Machine Learning;Statistics,2026-04-22
J1074,UI/UX Designer,Mid-size,Bengaluru,Full-time,LinkedIn,6.9,0,Adobe XD;Wireframing,2026-07-14
J1075,Data Analyst,Enterprise,Hyderabad,Internship,Wellfound,6.8,1,Excel;Power BI;Python,2026-01-14
J1076,Full Stack Developer,Startup,Bengaluru,Full-time,Naukri,10.0,2,AWS;React;TypeScript;MongoDB;SQL,2026-04-23
J1077,UI/UX Designer,Mid-size,Remote,Full-time,LinkedIn,7.7,2,Adobe XD;User Research,2026-08-22
J1078,Data Analyst,Mid-size,Bengaluru,Full-time,LinkedIn,7.6,1,SQL;Excel;Tableau;Python;Power BI,2026-08-02
J1079,UI/UX Designer,Enterprise,Bengaluru,Full-time,Indeed,5.4,1,Wireframing;Adobe XD;Prototyping;User Research,2026-01-01
J1080,Data Scientist,Mid-size,Remote,Contract,Indeed,6.9,4,Machine Learning;Pandas;Python;Statistics;SQL,2026-07-15
J1081,DevOps Engineer,Mid-size,Remote,Internship,Naukri,6.1,0,Kubernetes;Linux;AWS;Docker;Terraform,2026-08-22
J1082,Frontend Developer,Startup,Delhi NCR,Full-time,Naukri,3.9,5,Tailwind;TypeScript;Redux;CSS;HTML,2026-05-15
J1083,Frontend Developer,Enterprise,Chennai,Full-time,LinkedIn,7.3,5,Tailwind;HTML;React;Redux,2026-08-07
J1084,Backend Developer,Startup,Delhi NCR,Full-time,LinkedIn,8.4,0,Docker;Python;SQL;Node.js,2026-06-11
J1085,Frontend Developer,Mid-size,Hyderabad,Full-time,LinkedIn,5.5,1,JavaScript;Tailwind,2026-03-25
J1086,Frontend Developer,Enterprise,Mumbai,Full-time,Wellfound,4.4,2,CSS;TypeScript;React;Tailwind;JavaScript,2026-06-06
J1087,DevOps Engineer,Startup,Hyderabad,Full-time,Wellfound,9.5,4,Terraform;AWS;CI/CD,2026-05-20
J1088,UI/UX Designer,Mid-size,Chennai,Full-time,LinkedIn,4.8,2,User Research;Figma;Adobe XD,2026-03-19
J1089,Data Analyst,Enterprise,Chennai,Internship,Indeed,7.6,5,Excel;Python,2026-03-12
J1090,Data Scientist,Startup,Mumbai,Full-time,Naukri,10.8,1,Statistics;Python;TensorFlow;Machine Learning,2026-07-25
J1091,UI/UX Designer,Enterprise,Hyderabad,Full-time,Indeed,4.6,4,Prototyping;Adobe XD,2026-04-23
J1092,Backend Developer,Enterprise,Pune,Full-time,LinkedIn,10.4,5,REST APIs;SQL;PostgreSQL;Node.js,2026-07-21
J1093,Data Analyst,Startup,Chennai,Internship,Indeed,7.8,3,SQL;Tableau;Pandas,2026-01-20
J1094,Full Stack Developer,Mid-size,Hyderabad,Internship,LinkedIn,7.7,3,React;Node.js,2026-05-18
J1095,Data Analyst,Enterprise,Bengaluru,Full-time,Naukri,7.5,2,Pandas;Tableau;SQL;Power BI,2026-01-07
J1096,Frontend Developer,Mid-size,Bengaluru,Full-time,Wellfound,5.3,3,Redux;Tailwind;HTML;CSS,2026-01-10
J1097,Data Scientist,Mid-size,Mumbai,Contract,Wellfound,12.5,2,Python;SQL;Machine Learning,2026-07-10
J1098,Data Analyst,Mid-size,Bengaluru,Internship,Wellfound,7.9,3,SQL;Tableau;Excel,2026-04-24
J1099,Backend Developer,Startup,Mumbai,Full-time,Wellfound,4.1,3,Python;REST APIs;AWS;PostgreSQL;Node.js,2026-02-01
J1100,UI/UX Designer,Enterprise,Bengaluru,Contract,LinkedIn,3.7,0,User Research;Prototyping;Figma,2026-07-15
J1101,Data Scientist,Startup,Mumbai,Full-time,LinkedIn,11.3,1,TensorFlow;SQL;Python,2026-03-06
J1102,Backend Developer,Startup,Delhi NCR,Full-time,Naukri,7.3,3,AWS;REST APIs,2026-03-09
J1103,Frontend Developer,Enterprise,Bengaluru,Internship,Indeed,6.1,5,Redux;React;Tailwind,2026-04-26
J1104,Data Analyst,Mid-size,Mumbai,Full-time,Indeed,3.4,0,Excel;Power BI;Python;SQL;Pandas,2026-08-05
J1105,Full Stack Developer,Mid-size,Remote,Full-time,Wellfound,9.2,0,MongoDB;React;Node.js;TypeScript,2026-06-09
J1106,Data Analyst,Mid-size,Hyderabad,Full-time,Wellfound,3.5,4,Excel;Pandas;Power BI,2026-08-16
J1107,Backend Developer,Startup,Bengaluru,Full-time,Wellfound,9.2,3,REST APIs;Python;AWS;Node.js;SQL,2026-06-25
J1108,Data Scientist,Enterprise,Bengaluru,Full-time,Naukri,11.0,0,SQL;TensorFlow;Statistics;Machine Learning,2026-05-24
J1109,Frontend Developer,Startup,Mumbai,Full-time,LinkedIn,8.1,3,React;TypeScript;HTML,2026-05-28
J1110,Backend Developer,Enterprise,Remote,Internship,Wellfound,8.5,0,AWS;PostgreSQL;SQL;Node.js;Docker,2026-07-26
J1111,Full Stack Developer,Mid-size,Hyderabad,Full-time,LinkedIn,9.6,0,Node.js;React;AWS;SQL,2026-06-29
J1112,Data Scientist,Mid-size,Pune,Full-time,LinkedIn,7.6,0,Python;Machine Learning;TensorFlow;SQL;Statistics,2026-02-25
J1113,DevOps Engineer,Mid-size,Mumbai,Full-time,Wellfound,6.9,0,AWS;CI/CD;Docker;Kubernetes,2026-01-21
J1114,DevOps Engineer,Enterprise,Mumbai,Full-time,LinkedIn,9.2,0,Kubernetes;AWS;Terraform;Docker;CI/CD,2026-06-23
J1115,Full Stack Developer,Startup,Pune,Full-time,LinkedIn,8.7,1,AWS;MongoDB,2026-03-25
J1116,UI/UX Designer,Startup,Hyderabad,Internship,Wellfound,5.3,0,User Research;Wireframing;Adobe XD;Prototyping,2026-06-21
J1117,DevOps Engineer,Mid-size,Bengaluru,Full-time,LinkedIn,10.6,5,Terraform;AWS;Docker;Kubernetes;CI/CD,2026-06-13
J1118,Backend Developer,Enterprise,Bengaluru,Contract,Naukri,5.6,1,Node.js;AWS;REST APIs;Python;Docker,2026-04-22
J1119,Full Stack Developer,Startup,Bengaluru,Full-time,LinkedIn,6.1,0,Node.js;TypeScript;AWS,2026-07-06
J1120,UI/UX Designer,Enterprise,Remote,Full-time,Wellfound,6.1,3,Prototyping;Wireframing;Figma;Adobe XD;User Research,2026-05-25
J1121,DevOps Engineer,Enterprise,Bengaluru,Full-time,LinkedIn,8.2,0,AWS;Terraform;Docker;Linux,2026-03-19
J1122,UI/UX Designer,Enterprise,Mumbai,Full-time,Wellfound,7.8,0,Wireframing;Prototyping,2026-08-07
J1123,Full Stack Developer,Enterprise,Bengaluru,Full-time,LinkedIn,11.3,3,MongoDB;React;Node.js;AWS;SQL,2026-06-04
J1124,DevOps Engineer,Enterprise,Pune,Full-time,LinkedIn,7.0,4,AWS;Linux;Docker;Terraform;Kubernetes,2026-04-23
J1125,Frontend Developer,Enterprise,Mumbai,Full-time,Naukri,6.9,1,TypeScript;React,2026-03-26
J1126,Data Scientist,Mid-size,Hyderabad,Full-time,Naukri,6.0,0,SQL;TensorFlow;Pandas,2026-06-19
J1127,DevOps Engineer,Startup,Mumbai,Contract,Naukri,9.8,0,Terraform;CI/CD;AWS;Docker,2026-07-22
J1128,Full Stack Developer,Startup,Hyderabad,Internship,LinkedIn,12.0,1,React;SQL;MongoDB,2026-03-21
J1129,Data Scientist,Enterprise,Hyderabad,Internship,LinkedIn,8.0,1,Machine Learning;TensorFlow,2026-07-17
J1130,UI/UX Designer,Enterprise,Hyderabad,Full-time,Naukri,4.2,5,Adobe XD;User Research;Wireframing,2026-08-20
J1131,UI/UX Designer,Enterprise,Bengaluru,Part-time,Naukri,7.5,1,User Research;Wireframing;Prototyping,2026-04-25
J1132,UI/UX Designer,Enterprise,Pune,Part-time,Naukri,7.0,1,User Research;Figma;Adobe XD;Prototyping;Wireframing,2026-03-14
J1133,Data Scientist,Enterprise,Chennai,Contract,LinkedIn,11.1,2,Pandas;TensorFlow,2026-08-28
J1134,Backend Developer,Startup,Remote,Full-time,Wellfound,6.4,0,Docker;Node.js;REST APIs;SQL;PostgreSQL,2026-08-01
J1135,Data Analyst,Startup,Bengaluru,Part-time,Naukri,6.2,1,Python;SQL;Excel;Pandas,2026-01-21
J1136,DevOps Engineer,Enterprise,Pune,Full-time,Indeed,5.1,1,Kubernetes;Linux;CI/CD,2026-08-01
J1137,Frontend Developer,Startup,Hyderabad,Full-time,Wellfound,7.8,5,React;Tailwind;CSS;Redux,2026-07-18
J1138,DevOps Engineer,Enterprise,Bengaluru,Full-time,Wellfound,6.7,4,Kubernetes;Docker;AWS,2026-05-12
J1139,Frontend Developer,Mid-size,Chennai,Full-time,LinkedIn,5.2,0,TypeScript;React,2026-05-15
J1140,Full Stack Developer,Enterprise,Delhi NCR,Full-time,LinkedIn,8.8,1,MongoDB;TypeScript,2026-03-03
J1141,DevOps Engineer,Startup,Bengaluru,Internship,Wellfound,7.1,0,Kubernetes;Docker;AWS,2026-05-03
J1142,Full Stack Developer,Enterprise,Pune,Full-time,Wellfound,7.0,0,MongoDB;SQL;AWS;React;Node.js,2026-05-12
J1143,Data Analyst,Enterprise,Hyderabad,Part-time,LinkedIn,3.9,5,Excel;Power BI;Pandas;SQL;Python,2026-08-16
J1144,Frontend Developer,Enterprise,Bengaluru,Full-time,LinkedIn,4.8,5,HTML;Redux;CSS,2026-04-21
J1145,Backend Developer,Mid-size,Hyderabad,Internship,Indeed,8.3,4,SQL;PostgreSQL;Node.js;AWS;REST APIs,2026-06-26
J1146,DevOps Engineer,Enterprise,Chennai,Full-time,Indeed,6.0,5,Docker;Kubernetes;Terraform;CI/CD,2026-04-14
J1147,UI/UX Designer,Mid-size,Hyderabad,Full-time,Wellfound,6.4,3,User Research;Wireframing;Figma;Adobe XD,2026-06-15
J1148,Data Scientist,Mid-size,Mumbai,Full-time,LinkedIn,10.9,5,TensorFlow;Pandas;Python;Machine Learning;SQL,2026-04-04
J1149,DevOps Engineer,Enterprise,Bengaluru,Contract,Wellfound,5.9,0,CI/CD;Kubernetes;Terraform,2026-04-25
J1150,Frontend Developer,Enterprise,Hyderabad,Full-time,Wellfound,8.3,1,Redux;Tailwind;JavaScript;TypeScript,2026-07-27
J1151,Data Scientist,Startup,Delhi NCR,Full-time,Wellfound,7.9,3,Pandas;TensorFlow,2026-02-27
J1152,Backend Developer,Startup,Hyderabad,Part-time,Naukri,7.7,4,REST APIs;AWS,2026-06-06
J1153,Frontend Developer,Enterprise,Bengaluru,Full-time,Wellfound,3.8,1,Tailwind;JavaScript;CSS;React,2026-02-02
J1154,UI/UX Designer,Mid-size,Bengaluru,Full-time,Naukri,4.7,2,Figma;User Research;Adobe XD,2026-02-01
J1155,DevOps Engineer,Startup,Mumbai,Full-time,LinkedIn,9.5,1,Kubernetes;Linux;AWS;CI/CD,2026-05-22
J1156,Frontend Developer,Startup,Bengaluru,Full-time,Wellfound,6.9,4,HTML;Redux,2026-07-31
J1157,Frontend Developer,Enterprise,Remote,Full-time,Naukri,7.1,2,CSS;React;Redux;JavaScript,2026-05-08
J1158,Data Analyst,Mid-size,Bengaluru,Full-time,LinkedIn,6.6,3,Tableau;Python;Excel;Pandas;SQL,2026-04-17
J1159,Full Stack Developer,Startup,Bengaluru,Full-time,LinkedIn,7.0,4,AWS;TypeScript;Node.js;React;MongoDB,2026-03-03
J1160,Data Scientist,Startup,Delhi NCR,Full-time,Wellfound,9.0,2,Pandas;Python;TensorFlow;Machine Learning,2026-07-04
J1161,Data Scientist,Startup,Mumbai,Full-time,LinkedIn,9.8,5,SQL;TensorFlow;Python,2026-04-28
J1162,UI/UX Designer,Startup,Remote,Internship,Naukri,4.8,4,Figma;Prototyping;Wireframing;User Research;Adobe XD,2026-01-28
J1163,Data Analyst,Enterprise,Bengaluru,Part-time,Naukri,3.6,0,Tableau;Excel;Power BI;Pandas;Python,2026-05-10
J1164,UI/UX Designer,Enterprise,Pune,Full-time,LinkedIn,3.7,3,Wireframing;Adobe XD;Figma,2026-02-06
J1165,Data Scientist,Mid-size,Remote,Full-time,LinkedIn,9.9,2,TensorFlow;SQL;Pandas,2026-08-17
J1166,DevOps Engineer,Mid-size,Chennai,Full-time,Naukri,11.9,2,Terraform;Docker;CI/CD;Kubernetes,2026-05-25
J1167,DevOps Engineer,Enterprise,Bengaluru,Full-time,Wellfound,10.0,4,Kubernetes;Terraform;Docker,2026-07-20
J1168,Data Scientist,Startup,Bengaluru,Full-time,LinkedIn,10.5,4,TensorFlow;Statistics,2026-06-29
J1169,Data Analyst,Enterprise,Bengaluru,Full-time,LinkedIn,6.3,4,Excel;Python,2026-08-12
J1170,Data Analyst,Enterprise,Hyderabad,Internship,Naukri,6.2,2,Power BI;Tableau;Python;SQL,2026-08-22
J1171,Full Stack Developer,Startup,Remote,Part-time,Naukri,9.9,5,SQL;TypeScript;MongoDB;AWS,2026-05-23
J1172,UI/UX Designer,Mid-size,Bengaluru,Full-time,LinkedIn,7.9,3,Prototyping;User Research;Figma;Adobe XD,2026-07-04
J1173,DevOps Engineer,Mid-size,Mumbai,Internship,LinkedIn,10.8,2,Linux;AWS;Kubernetes;Docker,2026-01-21
J1174,Data Scientist,Startup,Bengaluru,Contract,LinkedIn,6.9,0,Pandas;SQL;Statistics,2026-07-09
J1175,Frontend Developer,Startup,Remote,Part-time,LinkedIn,6.9,5,CSS;Redux;JavaScript,2026-06-24
J1176,UI/UX Designer,Mid-size,Mumbai,Contract,LinkedIn,5.9,0,Prototyping;Wireframing;Figma;User Research,2026-03-15
J1177,UI/UX Designer,Startup,Remote,Part-time,Indeed,7.4,0,User Research;Figma;Prototyping;Adobe XD;Wireframing,2026-04-12
J1178,DevOps Engineer,Startup,Chennai,Full-time,LinkedIn,5.8,1,Terraform;CI/CD;AWS;Linux;Docker,2026-05-20
J1179,Frontend Developer,Mid-size,Pune,Internship,LinkedIn,8.1,4,Tailwind;CSS;HTML;TypeScript,2026-07-08
J1180,Frontend Developer,Startup,Remote,Full-time,Indeed,3.0,4,JavaScript;CSS,2026-04-13
J1181,UI/UX Designer,Mid-size,Mumbai,Full-time,LinkedIn,4.8,1,Figma;Adobe XD;Prototyping;User Research,2026-03-10
J1182,Backend Developer,Enterprise,Bengaluru,Contract,LinkedIn,8.3,1,Python;Docker;REST APIs;PostgreSQL,2026-04-14
J1183,DevOps Engineer,Mid-size,Delhi NCR,Contract,Naukri,10.6,1,Kubernetes;Linux;Docker;AWS,2026-06-05
J1184,Data Analyst,Startup,Remote,Full-time,Naukri,7.5,1,Power BI;Pandas;Python;SQL,2026-05-16
J1185,Full Stack Developer,Startup,Mumbai,Internship,Wellfound,11.3,5,React;TypeScript;Node.js;SQL;AWS,2026-08-07
J1186,Data Analyst,Enterprise,Pune,Internship,Naukri,5.0,0,Pandas;Python,2026-05-25
J1187,Data Scientist,Mid-size,Hyderabad,Full-time,Indeed,12.5,0,Pandas;Python,2026-01-19
J1188,Full Stack Developer,Startup,Delhi NCR,Part-time,Wellfound,7.9,4,TypeScript;MongoDB;AWS,2026-04-15
J1189,Frontend Developer,Enterprise,Chennai,Full-time,Indeed,5.4,1,Redux;JavaScript;React,2026-06-24
J1190,UI/UX Designer,Mid-size,Mumbai,Full-time,Wellfound,7.1,1,Wireframing;User Research;Figma;Prototyping,2026-01-06
J1191,Backend Developer,Startup,Chennai,Full-time,Naukri,10.2,0,Python;REST APIs,2026-08-28
J1192,Frontend Developer,Mid-size,Mumbai,Internship,LinkedIn,7.4,4,CSS;JavaScript,2026-01-26
J1193,Data Scientist,Startup,Pune,Full-time,Naukri,10.9,3,TensorFlow;Statistics,2026-02-25
J1194,UI/UX Designer,Startup,Hyderabad,Full-time,Naukri,4.1,2,User Research;Figma;Adobe XD;Wireframing,2026-06-22
J1195,DevOps Engineer,Enterprise,Pune,Part-time,Indeed,9.7,3,Terraform;CI/CD;Linux;Docker;Kubernetes,2026-06-23
J1196,Data Analyst,Startup,Chennai,Full-time,Naukri,7.0,0,Power BI;Tableau;Pandas;Excel;SQL,2026-02-17
J1197,Data Analyst,Startup,Hyderabad,Full-time,Wellfound,4.9,1,SQL;Excel;Tableau;Power BI,2026-03-04
J1198,Data Scientist,Startup,Bengaluru,Internship,Naukri,9.5,5,Machine Learning;SQL,2026-06-04
J1199,Full Stack Developer,Startup,Remote,Part-time,LinkedIn,12.0,5,Node.js;AWS,2026-08-21
J1200,DevOps Engineer,Startup,Pune,Internship,LinkedIn,8.7,3,AWS;Terraform;Linux;CI/CD;Kubernetes,2026-02-22
J1201,Data Analyst,Mid-size,Remote,Full-time,Wellfound,5.8,1,Pandas;Python;SQL;Power BI;Excel,2026-01-26
J1202,Full Stack Developer,Mid-size,Bengaluru,Full-time,LinkedIn,8.9,3,SQL;TypeScript;AWS,2026-02-09
J1203,Data Analyst,Startup,Bengaluru,Full-time,LinkedIn,7.4,0,Power BI;SQL;Pandas;Excel,2026-02-13
J1204,Frontend Developer,Mid-size,Bengaluru,Full-time,LinkedIn,3.9,1,HTML;CSS,2026-07-15
J1205,Full Stack Developer,Enterprise,Pune,Full-time,Wellfound,5.1,2,AWS;SQL;React;MongoDB;Node.js,2026-01-16
J1206,UI/UX Designer,Startup,Remote,Full-time,LinkedIn,6.1,2,User Research;Adobe XD;Prototyping,2026-08-29
J1207,Frontend Developer,Mid-size,Pune,Part-time,LinkedIn,7.1,0,Redux;Tailwind;React;HTML;JavaScript,2026-04-06
J1208,Data Analyst,Startup,Mumbai,Internship,LinkedIn,7.2,3,Power BI;SQL;Pandas;Tableau;Excel,2026-04-07
J1209,UI/UX Designer,Mid-size,Bengaluru,Full-time,Indeed,7.5,0,Prototyping;User Research;Figma;Wireframing;Adobe XD,2026-06-27
J1210,UI/UX Designer,Startup,Bengaluru,Full-time,Wellfound,7.2,3,Wireframing;Prototyping;User Research;Figma;Adobe XD,2026-07-30
J1211,Frontend Developer,Startup,Chennai,Full-time,Naukri,8.7,4,Tailwind;TypeScript;React;Redux;JavaScript,2026-01-26
J1212,Data Analyst,Enterprise,Remote,Full-time,Naukri,6.3,0,Power BI;Excel;Python;Pandas,2026-02-28
J1213,Frontend Developer,Startup,Hyderabad,Internship,LinkedIn,5.3,3,React;Tailwind;Redux;TypeScript,2026-01-22
J1214,Data Analyst,Startup,Bengaluru,Full-time,Wellfound,5.8,4,SQL;Pandas;Power BI;Python,2026-04-03
J1215,Data Scientist,Mid-size,Bengaluru,Full-time,Naukri,10.8,1,TensorFlow;Statistics;Machine Learning;SQL,2026-01-24
J1216,Data Analyst,Mid-size,Hyderabad,Full-time,LinkedIn,5.2,4,Excel;Tableau;SQL,2026-02-13
J1217,Full Stack Developer,Enterprise,Mumbai,Full-time,LinkedIn,5.7,2,React;TypeScript;SQL,2026-03-06
